Color name,Hex,R,G,B
purpleish,#98568d,152,86,141
purpleish blue,#6140ef,97,64,239
purpleish pink,#df4ec8,223,78,200
purpley,#8756e4,135,86,228
purpley blue,#5f34e7,95,52,231
purpley grey,#947e94,148,126,148
purpley pink,#c83cb9,200,60,185
purplish,#94568c,148,86,140
purplish blue,#601ef9,96,30,249
purplish brown,#6b4247,107,66,71
purplish grey,#7a687f,122,104,127
purplish pink,#ce5dae,206,93,174
purplish red,#b0054b,176,5,75
purply,#983fb2,152,63,178
purply blue,#661aee,102,26,238
purply pink,#f075e6,240,117,230
putty,#beae8a,190,174,138
racing green,#014600,1,70,0
radioactive green,#2cfa1f,44,250,31
raspberry,#b00149,176,1,73
raw sienna,#9a6200,154,98,0
raw umber,#a75e09,167,94,9
really light blue,#d4ffff,212,255,255
rebeccapurple,#663399,102,51,153
red,#ff0000,255,0,0
red brown,#8b2e16,139,46,22
red orange,#fd3c06,253,60,6
red pink,#fa2a55,250,42,85
red purple,#820747,130,7,71
red violet,#9e0168,158,1,104
red wine,#8c0034,140,0,52
reddish,#c44240,196,66,64
reddish brown,#7f2b0a,127,43,10
reddish grey,#997570,153,117,112
reddish orange,#f8481c,248,72,28
reddish pink,#fe2c54,254,44,84
reddish purple,#910951,145,9,81
reddy brown,#6e1005,110,16,5
rich blue,#021bf9,2,27,249
rich purple,#720058,114,0,88
robin egg blue,#8af1fe,138,241,254
robin's egg,#6dedfd,109,237,253
robin's egg blue,#98eff9,152,239,249
rosa,#fe86a4,254,134,164
rose,#cf6275,207,98,117
rose pink,#f7879a,247,135,154
rose red,#be013c,190,1,60
rosy pink,#f6688e,246,104,142
rosybrown,#bc8f8f,188,143,143
rouge,#ab1239,171,18,57
royal,#0c1793,12,23,147
royal blue,#0504aa,5,4,170
royal purple,#4b006e,75,0,110
royalblue,#4169e1,65,105,225
ruby,#ca0147,202,1,71
russet,#a13905,161,57,5
rust,#a83c09,168,60,9
rust brown,#8b3103,139,49,3
rust orange,#c45508,196,85,8
rust red,#aa2704,170,39,4
rusty orange,#cd5909,205,89,9
rusty red,#af2f0d,175,47,13
saddlebrown,#8b4513,139,69,19
saffron,#feb209,254,178,9
sage,#87ae73,135,174,115
sage green,#88b378,136,179,120
salmon,#fa8072,250,128,114
salmon pink,#fe7b7c,254,123,124
sand,#e2ca76,226,202,118
sand brown,#cba560,203,165,96
sand yellow,#fce166,252,225,102
sandstone,#c9ae74,201,174,116
sandy,#f1da7a,241,218,122
sandy brown,#c4a661,196,166,97
sandy yellow,#fdee73,253,238,115
sandybrown,#f4a460,244,164,96
sap green,#5c8b15,92,139,21
sapphire,#2138ab,33,56,171
scarlet,#be0119,190,1,25
sea,#3c9992,60,153,146
sea blue,#047495,4,116,149
sea green,#53fca1,83,252,161
seafoam,#80f9ad,128,249,173
seafoam blue,#78d1b6,120,209,182
seafoam green,#7af9ab,122,249,171
seagreen,#2e8b57,46,139,87
seashell,#fff5ee,255,245,238
seaweed,#18d17b,24,209,123
seaweed green,#35ad6b,53,173,107
sepia,#985e2b,152,94,43
shamrock,#01b44c,1,180,76
shamrock green,#02c14d,2,193,77
shit,#7f5f00,127,95,0
shit brown,#7b5804,123,88,4
shit green,#758000,117,128,0
shocking pink,#fe02a2,254,2,162
sick green,#9db92c,157,185,44
sickly green,#94b21c,148,178,28
sickly yellow,#d0e429,208,228,41
sienna,#a0522d,160,82,45
silver,#c0c0c0,192,192,192
sky,#82cafc,130,202,252
sky blue,#75bbfd,117,187,253
skyblue,#87ceeb,135,206,235
slate,#516572,81,101,114
slate blue,#5b7c99,91,124,153
slate green,#658d6d,101,141,109
slate grey,#59656d,89,101,109
slateblue,#6a5acd,106,90,205
slategray,#708090,112,128,144
slategrey,#708090,112,128,144
slime green,#99cc04,153,204,4
snot,#acbb0d,172,187,13
snot green,#9dc100,157,193,0
snow,#fffafa,255,250,250
soft blue,#6488ea,100,136,234
soft green,#6fc276,111,194,118
soft pink,#fdb0c0,253,176,192
soft purple,#a66fb5,166,111,181
spearmint,#1ef876,30,248,118
spring green,#a9f971,169,249,113
springgreen,#00ff7f,0,255,127
spruce,#0a5f38,10,95,56
squash,#f2ab15,242,171,21
steel,#738595,115,133,149
steel blue,#5a7d9a,90,125,154
steel grey,#6f828a,111,130,138
steelblue,#4682b4,70,130,180
stone,#ada587,173,165,135
stormy blue,#507b9c,80,123,156
straw,#fcf679,252,246,121
strawberry,#fb2943,251,41,67
strong blue,#0c06f7,12,6,247
strong pink,#ff0789,255,7,137
sun yellow,#ffdf22,255,223,34
sunflower,#ffc512,255,197,18
sunflower yellow,#ffda03,255,218,3
sunny yellow,#fff917,255,249,23
sunshine yellow,#fffd37,255,253,55
swamp,#698339,105,131,57
swamp green,#748500,116,133,0
tan,#d2b48c,210,180,140
tan brown,#ab7e4c,171,126,76
tan green,#a9be70,169,190,112
tangerine,#ff9408,255,148,8
taupe,#b9a281,185,162,129
tea,#65ab7c,101,171,124
tea green,#bdf8a3,189,248,163
teal,#008080,0,128,128
teal blue,#01889f,1,136,159
teal green,#25a36f,37,163,111
tealish,#24bca8,36,188,168
tealish green,#0cdc73,12,220,115
terra cotta,#c9643b,201,100,59
terracota,#cb6843,203,104,67
terracotta,#ca6641,202,102,65
thistle,#d8bfd8,216,191,216
tiffany blue,#7bf2da,123,242,218
tomato,#ff6347,255,99,71
tomato red,#ec2d01,236,45,1
topaz,#13bbaf,19,187,175
toupe,#c7ac7d,199,172,125
toxic green,#61de2a,97,222,42
tree green,#2a7e19,42,126,25
true blue,#010fcc,1,15,204
true green,#089404,8,148,4
turquoise,#40e0d0,64,224,208
turquoise blue,#06b1c4,6,177,196
turquoise green,#04f489,4,244,137
turtle green,#75b84f,117,184,79
twilight,#4e518b,78,81,139
twilight blue,#0a437a,10,67,122
ugly blue,#31668a,49,102,138
ugly brown,#7d7103,125,113,3
ugly green,#7a9703,122,151,3
ugly pink,#cd7584,205,117,132
ugly purple,#a442a0,164,66,160
ugly yellow,#d0c101,208,193,1
ultramarine,#2000b1,32,0,177
ultramarine blue,#1805db,24,5,219
umber,#b26400,178,100,0
velvet,#750851,117,8,81
vermillion,#f4320c,244,50,12
very dark blue,#000133,0,1,51
very dark brown,#1d0200,29,2,0
very dark green,#062e03,6,46,3
very dark purple,#2a0134,42,1,52
very light blue,#d5ffff,213,255,255
very light brown,#d3b683,211,182,131
very light green,#d1ffbd,209,255,189
very light pink,#fff4f2,255,244,242
very light purple,#f6cefc,246,206,252
very pale blue,#d6fffe,214,255,254
very pale green,#cffdbc,207,253,188
vibrant blue,#0339f8,3,57,248
vibrant green,#0add08,10,221,8
vibrant purple,#ad03de,173,3,222
violet,#ee82ee,238,130,238
violet blue,#510ac9,81,10,201
violet pink,#fb5ffc,251,95,252
violet red,#a50055,165,0,85
viridian,#1e9167,30,145,103
vivid blue,#152eff,21,46,255
vivid green,#2fef10,47,239,16
vivid purple,#9900fa,153,0,250
vomit,#a2a415,162,164,21
vomit green,#89a203,137,162,3
vomit yellow,#c7c10c,199,193,12
warm blue,#4b57db,75,87,219
warm brown,#964e02,150,78,2
warm grey,#978a84,151,138,132
warm pink,#fb5581,251,85,129
warm purple,#952e8f,149,46,143
washed out green,#bcf5a6,188,245,166
water blue,#0e87cc,14,135,204
watermelon,#fd4659,253,70,89
weird green,#3ae57f,58,229,127
wheat,#f5deb3,245,222,179
white,#ffffff,255,255,255
whitesmoke,#f5f5f5,245,245,245
windows blue,#3778bf,55,120,191
wine,#80013f,128,1,63
wine red,#7b0323,123,3,35
wintergreen,#20f986,32,249,134
wisteria,#a87dc2,168,125,194
yellow,#ffff00,255,255,0
yellow brown,#b79400,183,148,0
yellow green,#c0fb2d,192,251,45
yellow ochre,#cb9d06,203,157,6
yellow orange,#fcb001,252,176,1
yellow tan,#ffe36e,255,227,110
yellow/green,#c8fd3d,200,253,61
yellowgreen,#9acd32,154,205,50
yellowish,#faee66,250,238,102
yellowish brown,#9b7a01,155,122,1
yellowish green,#b0dd16,176,221,22
yellowish orange,#ffab0f,255,171,15
yellowish tan,#fcfc81,252,252,129
yellowy brown,#ae8b0c,174,139,12
yellowy green,#bff128,191,241,40
